COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
REDEIA,16.200,-2.20,-0.36,1.23,16.640,16.190,1041608,8765,18:41,04/12
REPSOL,13.830,-1.07,-0.15,-4.67,14.040,13.805,3138707,20087,18:41,04/12
ROVI,40.720,-0.24,-0.10,12.92,41.280,40.580,107753,2200,18:41,04/12
SACYR,2.996,0.54,0.02,17.76,3.000,2.966,1241587,1997,18:41,04/12
SANTANDER,3.611,3.76,0.13,28.83,3.611,3.474,39617432,59407,18:41,04/12
SOLARIA,15.650,-1.14,-0.18,-8.59,16.100,15.605,297235,1955,18:41,04/12
TELEFÓNICA,4.050,-0.22,-0.01,19.65,4.073,4.027,6636713,23390,18:41,04/12
UNICAJA BANCO,1.016,2.32,0.02,3.33,1.020,0.988,7385016,2697,18:41,04/12
ACCIONA,176.950,-0.42,-0.75,2.94,182.300,176.750,98470,9707,18:41,04/12
ACCIONA ENER,34.020,-2.13,-0.74,-5.87,35.180,33.960,335457,11201,18:41,04/12
ACERINOX,9.462,-0.21,-0.02,5.46,9.550,9.440,448783,2560,18:41,04/12
ACS,30.700,1.79,0.54,16.68,30.720,30.050,622538,8724,18:41,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,84222,22605,18:41,04/12
AMADEUS IT GROUP,61.160,0.26,0.16,25.97,61.380,60.900,518017,27553,18:41,04/12
ARCELORMITTAL,26.940,-0.46,-0.12,9.56,27.220,26.760,146376,23648,18:41,04/12
BANCO SABADELL,1.026,2.77,0.03,16.54,1.035,0.988,30714100,5776,18:41,04/12
BANKINTER,5.644,3.75,0.20,-8.37,5.644,5.432,3916310,5073,18:41,04/12
BBVA,6.806,2.69,0.18,26.76,6.806,6.616,14189841,43468,18:41,04/12
CAIXABANK,3.542,2.61,0.09,3.08,3.543,3.422,10551341,28551,18:41,04/12
CELLNEX TELECOM,38.520,0.78,0.30,24.58,38.570,38.200,1219279,26168,18:41,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.995,5.855,1471564,3195,18:41,04/12
ENAGAS,17.965,-1.72,-0.32,15.72,18.370,17.940,582954,4707,18:41,04/12
ENDESA,19.750,-2.57,-0.52,11.99,20.360,19.670,1885752,20910,18:41,04/12
FERROVIAL,27.590,0.73,0.20,12.75,27.590,27.380,632910,20350,18:41,04/12
FLUIDRA,14.910,-1.26,-0.19,2.69,15.210,14.890,507757,2917,18:41,04/12
GRIFOLS,9.390,-1.84,-0.18,-12.81,9.600,9.372,1202430,4001,18:41,04/12
IAG,1.654,0.46,0.01,18.95,1.658,1.639,5574283,8223,18:41,04/12
IBERDROLA,11.465,-1.71,-0.20,6.63,11.730,11.405,10744710,73908,18:41,04/12
INDITEX,31.090,0.39,0.12,25.11,31.160,30.850,2118717,96897,18:41,04/12
INDRA,12.500,-2.27,-0.29,17.37,12.780,12.480,949017,2208,18:41,04/12
LOGISTA,23.100,-0.43,-0.10,1.71,23.260,22.900,182784,3067,18:41,04/12
MAPFRE,1.936,-0.21,-0.00,6.96,1.941,1.918,2119466,5962,18:41,04/12
MELIÁ HOTELS,5.915,0.85,0.05,29.20,5.960,5.870,969801,1304,18:41,04/12
MERLIN PROP,8.140,2.39,0.19,-7.24,8.200,7.970,949483,3824,18:41,04/12
NATURGY,28.000,-2.03,-0.58,15.18,28.760,27.960,246498,27149,18:41,04/12
